牛肉,300,165,0.7,21.5,7.6,0,0.1,0.18,2,3,750,山形県産,和牛100g焼肉・すきやき・しゃぶしゃぶ用,2978382220980
豚肉,300,177,0.4,20.3,9.5,0,0.78,0.21,1,6,420,鹿児島県曽於市,お子様のお弁当に！国産豚肉ローススライス100g,2982376254219
鶏もも肉,300,182,0.1,19.5,10.6,0,0.09,0.28,1,10,110,岩手県九戸郡,新鮮！国産鶏もも肉100g,2918037705158
アジ,220,144,0.1,18.7,6.9,0,0.12,0.16,1,65,150,長崎,国産,2933780106656
マグロ,250,108,0.1,24.3,0.5,0,0.1,0.15,2,2,598,オーストラリア,刺身用（養殖・解凍）,2973744548283
サーモン,230,167,0.1,20.7,8.4,0,0.22,0.17,2,14,297,チリ,刺身用（養殖・解凍）,2900264789667
卵,200,162,0.9,12.3,11.2,15,0.08,0.48,0,55,28,茨城県坂東市,産卵日入たまご,4949806115043
木綿豆腐,300,77,0.8,6.8,5,0,0.07,0.03,0,120,98,北海道,国産にがり造り木綿300g,4994460361800
納豆,150,200,12.1,16.5,10,0,0.07,0.56,0,90,98,茨城県,おかめ納豆(50g),4901160257333
牛乳,500,59,4.5,2.9,3.2,11,0.03,0.15,0,100,84,北海道,まごころ製法により、酸素と熱と光から守られた牛乳500ｍｌ,4902705100787
プロセスチーズ,50,356,1.4,28.9,25,150,0.04,0.42,0,660,393,フランス,ラングル AOP（ウォッシュタイプ）,4996840257437
ワカメ,30,0,38,15,3.2,3300,0.3,1.15,15,960,98,北海道,手軽なカットわかめ,4904570204263
ヨーグルト,150,60,5,3.2,3,11,0.04,0.2,0,110,198,MEIJI,ブルガリアヨーグルト500g,4902720095440
焼きのり,20,0,4.2,1.9,0.1,340,0.13,0.16,12,21,315,熊本県玉名市,おにぎり・ビールのおつまみに。味付け海苔8束,4901174511117
シラス干し,50,176,0.3,378,1.6,0,0.02,0.2,0,530,280,静岡県,ご飯によく合うしらす干し50g,2957816315959
ホウレン草,60,25,4.4,3.3,0.2,3100,0.13,0.23,65,55,198,岐阜県高山地区,高冷地で育ったため、葉が厚く、緑色が濃いのが特徴です。,2999577445094
トマト,100,16,3.7,0.7,0.1,390,0.05,0.03,20,9,71,北海道上磯郡知内地区,酸味と甘味のバランスがとれたトマトです。,4582251116144
ブロッコリー,200,43,7.8,5.9,0.1,720,0.12,0.27,160,49,98,北海道上川郡東川地区,冷涼な気候とミネラル豊富な忠別川の清流を生かして栽培されたブロッコリーです。,2951021514053
ニンジン,300,32,7.1,1.2,0.2,7300,0.07,0.05,6,39,29,北海道河東郡音更地区,鮮やかな紅色をした肌ツヤのよい人参です。,4582251116243
ピーマン,50,21,5,0.9,0.1,270,0.04,0.04,80,10,98,千葉県香取郡多古地区,品種は「ピー太郎」です。甘味があって食べやすく、お子様でも食べやすいように、と作られました。 ,4582251116236
グリーンアスパラ,80,20,4.2,1,0.1,350,0.11,0.13,8,21,98,山形県西置賜郡白鷹地区,柔らかくて甘い､そして色も鮮やかなアスパラガスです。,2924897904273
カボチャ,150,36,8.9,1.3,0.1,620,0.07,0.06,15,17,196,鹿児島県,甘くてホクホク感が味わえるカボチャです。,2959434586025
大葉,10,35,7,3.8,0.1,8700,55,0.32,55,220,78,大分県大分地区,香りが良く、エグミ感が少なく食べ易いです。,2969525804419
玉ネギ,200,35,8.1,1,0.1,0,0.04,0.01,7,15,29,北海道石狩,玉ぞろいが良く、収穫後の日持ちが良いのが特徴です。,4996840268945
バナナ,200,87,22.9,1.1,0.1,27,0.04,0.04,10,4,129,フィリピン,もっちりした食感とコクのある甘み。栽培方法にこだわってつくられた逸品です。,4582251116267
キウイ,150,56,13.8,1,0.4,36,0,0.03,80,27,99,ニュージーラン,酸味と甘味のバランスがとてもよく、ジューシーな食感です。,4582251116281
レモン,40,24,7.6,0.4,0.2,0,0.04,0.02,45,7,179,南アフリカ,防カビ剤不使用。アウトスパンブランドの輸入レモンです。,4582251116199
キャベツ,700,24,5.5,1.4,0.1,20,0.03,0.03,24,40,39,北海道虻田郡洞爺湖地区,みずみずしくボリューム満点のキャベツです。,2967591805309
ゴボウ,60,76,17.6,2.8,0.1,0,0.04,0.07,4,49,228,鹿児島県曽於郡大崎地区,白肌で肉質は軟らか、香りの良いごぼうです。,2952006341343
ナス,80,18,4,1.1,0.1,40,0.03,0.04,2,14,58,長野県下伊那郡下條地区,大きな卵型、濃い紫色をした「くろわし」という品種の米なすです。,4582251116250
大根,500,18,4,0.8,0.1,0,0.03,0.02,15,30,158,北海道虻田郡留寿都地区,煮物でも生食でも、様々な用途に合う品種です。,2941392881502
シイタケ,60,0,61.8,20.3,3.4,0,0.57,1.7,0,12,199,北海道空知郡上砂川地区,肉厚で軸の部分も柔らかく食べられます。,4972490705931
キュウリ,100,11,2,1,0.2,150,0.04,0.04,13,24,50,岩手県遠野地区,みずみずしく、シャキシャキとした食感を楽しめます。,2919856795542
ニンニク,100,138,29.6,8.4,0.1,0,0.21,0.11,19,15,120,青森県上北郡,健康な土で育ったにんにくは風味抜群！,4582251116274
ハチミツ,150,294,79.7,0.2,0,0,0.01,0.01,3,2,285,サクラ印,レンゲハチミツ(10g),2980319199115
ジャガイモ,500,77,17.2,2,0.2,0,0.11,0.03,23,5,29,石川県鳳珠郡穴水地区,赤土土壌で育ったホクホクのジャガイモです。,4996840268921
サツマイモ,250,123,29.4,1.2,0.2,10,0.1,0.05,30,32,98,茨城県行方地区,水はけのよい火山灰土で育ち、ほくほく感と甘みが特徴です。,2922144413998
お米,200,148,31.8,2.6,0.5,0,0.03,0.01,0,2,140,石川県白山市,新潟県産こしひかり,4522359000174
スパゲティー,300,149,28.4,5.2,0.9,0,0.04,0.02,0,7,105,イタリア,ARBELLA500g,8697430885493
砂糖,270,384,99.2,0,0,0,0,0,0,1,168,中部製糖,上白糖270g,4562362050018
バター,64,745,0.2,0.6,81,140,0.01,0.03,0,15,257,よつ葉乳業,パンにおいしいよつ葉バター【100g】,4903050110841
マヨネーズ,50,698,3,1.5,75.4,0,0.02,0.06,0,8,78,キューピー,マヨネーズ 50g,49840339
サラダ油,200,921,0,0,100,0,0,0,0,0,278,日清オイリオ,キャノーラ油　400g,4902380033554
